질문,답변
농약의 오남용을 방지하기 위하여 농약에 색소를 첨가하여 농약을 사용했는지 여부를 쉼게 알 수 있도록 할 수 있나요?,"□ 농약의 오남용을 방지하기 위해 국내 모든 농약에 대하여 냄새 또는 색깔이 있는 부자재를 사용하도록 이미 의무화하고 있습니다.

        또한 농약의 올바른 사용과 안전한 농산물 생산을 위하여 농약허용물질강화제도(PLS)가 시행됨에 따라 농업인, 농약판매상 등에 대한 농약안전사용(농약이 등록된 작물, 사용방법, 사용량 등을 지켜 사용하도록 규정) 교육도 지속적으로 강화하고 있습니다.

        ○ 한편 농산물에 농약을 살포한 흔적이 남아있는 경우 등은 소비자의 인식과 건강 위해성에도 좋지 않은 영향을 끼칠 수 있으므로 주의가 필요합니다. "
"사람에게 피해를 주는 야생진드기 등을 퇴치할 수 있는
농약을 개발해 주세요.","□「농약관리법」제2조제1호에 따르면 “농약”이란 농작물을 해치는 균, 해충, 잡초를 방제하는데 사용하거나 농작물의 생리기능을 증진·억제시키는데 사용되는 물질로 정의하고 있으며, 농촌진흥청에서는 농작물에 피해를 주는 병, 해충, 잡초 등을 방제하는 농약을 등록하고 관리하고 있습니다.

      ○ 야생진드기는 농작물에 해를 주는 것이 아니라 사람에게 해를 주는 해충으로 사람에게 해를 끼치는 진드기, 파리, 모기를 구제하는 살충제 제품은「생활화학제품 및 살생물제의 안전관리에 관한 법률」(2019.1.1.시행)에 따라 환경부(국립환경과학원)에서 해당 제품을 승인, 관리하고 있음을 알려드립니다."
"콩 직파시 조류 피해가 발생되고 있어 농가 애로사항이
있습니다. 예전에 사용하던 지오릭스, 엔도설판 분제 등
을 계속 생산 공급해 주시면 좋겠습니다.","	□ 농약 ‘지오릭스’는 ‘엔도설판 분제’, ‘엔도설판 유제’의 상표명으로 판매되었으나, 고독성 농약에 해당되어 2011년 등록이 취소되었습니다.

    ○ 현재 콩 조류기피 효과로 ‘티람.메티오카브 종자처리액상수화제’가 등록되어 있으니, 등록된 제품을 사용하여 주시기 바랍니다."
"드론 등을 이용한 항공방제시 비의도적 오염 방지를 위한
대책으로는 어떤 것이 있나요?","□ 항공방제용 농약을 사용할 때에는 작업구간을 표시하여 가능한 해당 작물에만 농약이 살포되도록 해야하고, 사전에 주변 재배농가들에게 알려야 하며, 농약 사용기록을 남겨야 합니다.

    ○ 아울러, 우리 청에서는 농업용 무인항공 살포기의 농약비산 특성연구 조사결과(국립농업과학원, ’18), “작물 병해충 방제용 무인 항공살포기의 안전사용”을 제작하여 농업인, 도 농업기술원, 농업기술센터, 드론방제업체, 농약판매상 등에게 보급하였습니다.

        - 무인항공 살포기 안전사용 매뉴얼 주요내용

            ① 살포 전 이웃 농가 등에 안내하고, 주변상황·비산 우려지역 확인 후 방제작업 실시

            ② 무인항공기 방제시 풍속 3m이하, 비행고도 2∼3m, 비행속도 15km/h 준수"
"현재 재배하는 작물에 등록되지 않은 농약을 사용할 경우
어떠한 제제조치가 있나요?","□ 모든 농약은 「농약관리법」제23조1항 및 같은법 시행령 제19조에 따라 등록된 농작물 및 병해충에만 사용하도록 ‘농약안전사용기준(농진청 고시)’이 설정되어 있습니다.

       ○ 이러한 농약의 안전사용기준을 위반하였을 경우에는「농약관리법」제40조제1항제3호 및 제2항제4호에 따라 농약 판매자(500만원 이하) 및 사용자(100만원 이하)에게 과태료가 부과됩니다"
"현재 재배하는 작물에 등록되지 않은 농약이 PLS 제도가
운영되기 전에는 효과가 좋아 많이 쓰고 있었는데, 계속
해서 쓸 수 있게 해주세요.","□ 2019년 1월 1일부터 PLS 제도가 모든 작물에 대하여 시행되고 있기 때문에 현재 재배하고 있는 작물에 등록되지 않은 농약을 사용하면 안 됩니다. 그러한 농약들은 농촌진흥청에 직권시험으로 신청하신 후 효과를 평가하여, 해당 작물에 정식으로 등록된 후 사용할 수 있습니다.

    ○ 직권시험은 농약안전정보시스템(psis.rda.go.kr)에서 회원가입 후 마이페이지 → 농약직권등록수요조사를 통해 신청 가능합니다."
"멜론, 참외, 수박은 다 박과작물이기 때문에 그 중 한 작물
에 등록되어 있으면 다 같이 사용할 수 있을까요?","□ 농약은 「농약관리법」 제23조에 따라 적용작물 및 병해충에 등록된 농약을 사용하셔야 합니다. 

    이에 따라 우리 청은 농약회사가 제출한 작물별, 병해충별 약효약해, 잔류성, 독성 등 시험성적서를 안전성 평가 후 등록하고 있습니다.

   ○ 멜론과 참외, 수박은 같은 박과라도 서로 다른 작물이기 때문에 같은 농약성분이라도 잔류하는 양상이

       서로 다를 수 있기에 작물별로 등록하고 있습니다.

        따라서 해당 작물, 해당 병해충에 등록된 농약을 사용하셔야 합니다. "
농약을 살포해야 하는 적정한 시기는 언제인가요?,"□ 우리 청에서는「농약관리법」제8조에 따라 농약제조(수입)업체에서 제출한 약효약해, 잔류성, 독성 시험성적서 등을 바탕으로 농약의 효과, 피해뿐만 아니라 작물에 잔류하는 농약의 양을 감안하여 안전한 농산물을 생산하고 소비할 수 있도록 등록?관리하고 있습니다.

□ 농작물별로 발생하는 병이나 해충은 각각 발생시기가 다르며 적절한 방제시기를 놓쳤을 경우 이미 해당 농약에 대한 감수성이 떨어지거나 저항성 등이 발생하여 농약의 효과가 낮아질 수 있기 때문에 적절한 시기에 살포하는 것이 좋으며, 해당 병해충에 적용된 농약의 사용설명서를 자세히 읽으신 후 사용하는 것이 중요합니다.

   ○ 한가지 사례로 배추좀나방 유충의 경우 1?2령의 유충에는 방제효과가 좋지만, 3?4령이 되면 농약의 효과가 낮아지는데 이는 유충이 커가면서 자연스럽게 농약에 대한 감수성이 떨어지는데서 기인합니다.

   ○ 또한 딸기 점박이응애의 경우에도 발생초기 즉, 한잎당 2?3마리가 발생했을 경우에는 약충이 대부분이기 때문에 농약의 방제효과를 볼 수 있으나, 다발생되었을 경우에는 약충과 성충이 혼재되어 있고 성충에 대해서는 방제효과가 떨어질 수 있습니다.

□ 따라서 각각의 작물별, 병해충별로 농약의 안전사용기준을 준수하면서 작용기작이 다른 농약을 교호로 살포하고 해충의 방제상황에 따라 적절한 처리 간격으로 농약을 살포하시는 것이 바람직합니다."
"소독약과 관련하여 일반화학약품 살균살충제 및 농업용
농약 제조업을 등록하려면 어떻게 해야 하나요?","□ 같은 화학물질이라도「농약관리법」제2조제1호에 따라 병해충 방제를 위하여 작물에 사용하면 농약으로 분류하고 있습니다.

   그러므로 만약 생산하는 제품이 병해충 방제를 목적으로 작물에 사용된다면「농약관리법」제3조에 따라 ‘농약 제조업 등록’을 하셔야 합니다.

   ○ 제조업 등록은 농약 생산에 적절한 인력과 시설, 장비를 갖추고 시·도지사를 경유하여 농촌진흥청에 신청하시면 서류심사 및 현지조사를 거처 등록증을 발급하고 있습니다."
"농약 원제로 사용되는 물질을 이용하여 제품(품목)을 제
조하여 농작물 병충해 방제와는 무관하게 해충 방역 등을
목적으로 할 때에도 농약으로 등록해야 하나요?","□ 같은 화학물질이라도 「농약관리법」 제2조제1호에 따라 병해충 방제를 위하여 농작물, 수목 등에 사용하면 농약으로 분류하고 있습니다.

    ○ 농약 원제로 사용하는 물질이라도 제품의 최종 목적이 농작물의 병해충 방제를 목적으로 농작물 등에 사용한다면 「농약관리법」제17조에 따라 농약으로 등록을 하여야 합니다.

    ○ 만약 농작물의 병충해 방제 이외의 목적으로 사용한다면 환경부 등의 규정을 적용받게 됩니다. "
"농약 품목과 원제 등록을 위해서 준비해야 하는 서류는
무엇인가요?","□ 농약 품목 등록신청 시 제출해야 되는 서류는 ‘참고1’과 같으며, 농약 품목 등록신청서, 이화학시험성적서, 약효?약해시험성적서, 인축독성시험성적서, 환경생물독성시험성적서, 잔류성시험성적서, 원제등록증, 이화학분석법 및 시료, 시험 농약 출처에 대한 입증 자료 등을 제출해야 합니다.

    ○ 농약품목 등록신청을 위해서는 등록신청 회사에도 원제가 등록되어 있어야 합니다.

□ 농약 원제 등록은 ‘참고2’와 같이, 등록 신청 구비서류와 이화학분석성적서, 인축독성시험성적서, 환경생물독성시험성적서, 분석법, 표준품, 원제 공급 입증서류, 시험 및 학술용 원제 수입허가증, 원제 초록 등을 제출하여야 합니다.

□ 농약은 종류도 다양하고 여러 가지 경우의 수가 많기 때문에 농약관리법과 관련 고시를 충분히 숙지하고 등록을 진행하셔야,  농약 등록 과정에서 발생할 수 있는 손실을 미연에 방지할 수 있으니, 반드시 관련 규정을 충분히 이해하시는 것이 중요합니다."
농약의 신규등록절차는 어떻게 되나요?,"□ 농약 품목 등록신청 시 제출해야 되는 서류는 ‘참고1’과 같으며, 농약 품목 등록신청서, 이화학시험성적서, 약효?약해시험성적서, 인축독성시험성적서, 환경생물독성시험성적서, 잔류성시험성적서, 원제등록증, 이화학분석법 및 시료, 시험 농약 출처에 대한 입증 자료 등을 제출해야 합니다.

    ○ 농약품목 등록신청을 위해서는 등록신청 회사에도 원제가 등록되어 있어야 합니다.

□ 농약 원제 등록은 ‘참고2’와 같이, 등록 신청 구비서류와 이화학분석성적서, 인축독성시험성적서, 환경생물독성시험성적서, 분석법, 표준품, 원제 공급 입증서류, 시험 및 학술용 원제 수입허가증, 원제 초록 등을 제출하여야 합니다.

□ 농약은 종류도 다양하고 여러 가지 경우의 수가 많기 때문에 농약관리법과 관련 고시를 충분히 숙지하고 등록을 진행하셔야,  농약 등록 □ 모든 농약 품목과 원제는 「농약관리법」과 농촌진흥청 고시「농약 및 원제의 등록기준」등에 의해 등록을 한 후 판매가 가능합니다.

    ○ 농약관리법 검색 방법: 국가법령정보센터-법령-농약관리법 검색

    ○ 농약관련 고시 검색 방법: 국가법령정보센터-행정규칙-농약 검색

□ 농약등록 절차와 관련되어 「농약관리법」 제8조, 제16조, 제17조에 의해 농촌진흥청에 등록신청 하여야 하며, 농약 제조(수입)업에 등록된 회사에서 신청서가 제출된 후,  농촌진흥청에서는 접수, 평가, 농약전문위원회, 농약 안전성심의위원회를 거쳐 농약등록이 진행되고 있습니다.과정에서 발생할 수 있는 손실을 미연에 방지할 수 있으니, 반드시 관련 규정을 충분히 이해하시는 것이 중요합니다."
농약 판매관리인 교육 영상이 정상적으로 재생되지 않습니다.,"2022년 6월 15일부로 인터넷 익스플로러(Internet Explorer)의 서비스가 종료됨에 따라 인터넷 익스플로러로 판매관리인 교육 영상을 재생할 경우, 교육이 원활하게 진행되지 않을 수 있습니다. (영상 재생 불가, 멈춤현상, 교육을 이수하여도 미이수 상태로 표시 등)

원활한 교육 진행을 위해 판매관리인분들께서는 마이크로소프트 엣지나 크롬 등을 사용하시어 교육을 진행해주시기 바랍니다."
"(농업인 가입) 핸드폰 본인명의가 아닐 경우 가입을 어떻
게 해야하나요?","아래와 같이 신청서를 제출 하시면, 검토 후 계정을 직권으로 발급해드립니다. 

        * 농약안전정보시스템 알림마당 → 「계정 및 비밀번호 발급 신청서」 작성 → 구비서류 첨부 후 농촌진흥청 제출(우편) "
"(농업인 가입) 가입 후, 마이페이지에서 구매내역이 조회
가 되지 않습니다!","농약 구매 당시 제공한 전화번호와 안전정보시스템 본인인증 시 사용하신 번호가 일치하지 않을 경우,

        구매 기록이 조회되지 않습니다. 이 같은 경우 , 판매업체에 방문하여 전화번호를 현행화해 주시기 바랍니다."
"동일인이나, 개명으로 인해 판매관리인을 변경 등록하였
습니다. 시스템에는 어떻게 반영해야 하나요?","□ 동일인이므로, 개명 전 판매관리인을 삭제하거나 퇴사 처리 후 신규로 입력하시면 안됩니다.

   ○ 개명한 판매관리인의 주민등록 초본 등 관련 서류를 첨부하여 판매관리인 시스템 변경 등록 신청을 공문으로 하시면 됩니다.

   ○ 신청하신 공문을 근거로 하여 시스템상에서 정보를 반영하면, 개명 전 수료한 교육 및 이력이 개명 후 판매관리인의 이력으로 수정 됩니다."
"농약 판매기록을 등록하던 중, 해당 상표명으로 조회되지
않습니다. 어떻게 해야 하나요?","□ 상표명이 변경된 경우 기존의 상표명으로 검색되지 않을 수 있습니다.

   ○ 품목명과 제조회사명이 일치한 상표로 판매기록 하시면 됩니다."
"민간재고시스템을 사용하더라도, 판매기록을 위해서 농
약안전정보시스템의 회원가입을 해야 하나요?","□ 반드시 농약안전정보시스템에 회원가입 하셔야 합니다.

  ○ 회원가입 시 [판매정보등록방식]을 선택하게 되는데, [민간재고 SW] 사용으로 선택하시고 민간재고시스템에 판매기록 하시면 됩니다."
"판매업관리시스템에서 대표자, 판매관리인을 어떻게 변
경하나요?","□ 농약판매유통관리 ? 농약업 및 관리인관리 ? 농약업관리 ? 해당업체 검색 ? 농약업체 정보 우측 상단 [변경등록] - 기존 대표자명 클릭 ? 대표자 정보변경 ? 퇴사여부 ? 퇴사 - 

    [반영] - [대표자지정] - 신규일 경우 대표자 신규입력 후 저장, 기존 대표자일 경우 대표자명으로 검색 후 클릭

  ○ 판매관리인도 대표자 변경 방법과 동일합니다.

  ○ 대표자 및 판매관리인을 삭제하시면 해당 판매관리인이 기록했던 판매기록도 함께 삭제되므로 절대 삭제하시면 안됩니다."
"개인정보 제공 및 이용동의서는 기관, 법인도 받아야 하
나요?","□ 개인정보 제공 및 이용동의서는 구매자가 개인인 경우에만 해당됩니다.

   ○ 구매자가 개인이 아닌 법인, 단체, 기관은 개인정보 제공 및 이용동의서를 작성하지 않아도 됩니다.

     -  개인에게 개인정보 제공 및 이용동의서를 받지 않고 개인정보를 기록하고 제공하는 것은 개인정보보호법에 위반됩니다. "
"판매관리인 교육 이수 후 판매업관리시스템에 반영되려
면 얼마나 소요되나요?",□ 판매관리인 교육 이수 후 판매업관리시스템에 반영되는 시간은 대략 1~2주정도 소요됩니다.
농약을 판매한 후 정보기록 및 제공은 며칠 이내 해야하나요?,□ 농약관리법 제23조의2 및 농촌진흥청 고시 「농약 판매기록 등의 방법 및 농약안전정보시스템 운영 요령」에 따라 농약 제조업자·수입업자·판매업자는 판매 정보가 발생한 날로부터 10일 이내에 해당 정보를 농촌진흥청에 기록·제공하여야 합니다.
"사업장을 이전하여 폐업 후 다시 판매업을 등록하였는데,
안전정보시스템에서 폐업 전 사용하던 기존 아이디를 사
용하여 판매기록을 해도 되나요?","□ 폐업을 하시면, 안전정보시스템에서 본인이 직접 정보를 수정하시더라도 기존의 아이디로는 판매기록을 하실 수 없습니다.

   ○ 폐업 후 판매업을 다시 등록하셨다면, 안전정보시스템에서 새로이 회원가입 하시어 판매기록을 하셔야 됩니다."
농약 도매업체는 판매기록을 하지 않아도 되나요?,"□ 판매정보는 반드시 기록하시되, 도소매업체간의 거래는 제공하지 않을 수 있습니다.

   ○ 도매업체 일지라도 기관이나 법인, 농업인에게 직접 농약을 판매한 경우에는 판매기록을 제공하셔야 합니다."
"농약 판매담당자가 변경되었습니다, 안전정보시스템에
서 어떻게 반영해야 하나요?","□ 농약안전정보시스템에서 직접 변경 가능합니다.

   ○ 농약안전정보시스템 ? 로그인 - 마이페이지 ? 회원정보변경 ? 회원정보 ? 이름 옆 [담당자변경]울 누르시고 본인인증을 거치면 담당자가 변경됩니다.

   ○ 판매관리인 변경은 판매업의 변경등록 사항이므로, 사업장소재지 관할 지자체로 판매업 변경등록을 신청하셔야 합니다."
농약 판매기록을 어떻게 해야하나요?,"□ 농촌진흥청 농약안전정보시스템 또는 연계 민간시스템(농협,아산,우성 등)에 기록하시면 됩니다.

   ○ 농약안전정보시스템에서는 거래 유형별로 구분하여 판매기록을 등록 및 일괄등록 하시면 됩니다.

   ○ 농협의 경우 농협중앙회에서 정보를 일괄 제공하고 있습니다.

     - 문의사항은 농협경제지주 자재부(02-2080-6425)로 연락하십시오.

   ○ 아산소프트, 우성컴퓨터를 사용하시면, [농진청전송] 버튼을 눌러주셔야 기록 전송이 완료됩니다.

    - 문의사항은 아산소프트( 051-804-1398 ), 우성컴퓨터( 053-526-5278)로 연락하십시오."
농약은 어떻게 분류하고 관리되나요?,"□ 농약은 용도에 따라 살균제, 살충제, 제초제, 생장조정제 및 기타 농약으로 분류되며, 인축(人畜)에 대한 독성정도로는 저독성, 보통독성, 고독성으로 구분하며 현재 등록된 농약 중 85%가 저독성에 해당됩니다.

    ○ 농약의 등록 및 관리는「농약관리법」에 의하여 엄격히 관리되고 있으며, “국가법령정보센터(www.law.go.kr)”에서 검색이 가능합니다.

        - 검색방법: 국가법령정보센터 → 법령 → 농약관리법 검색"
"농약 시험연구기관 지정 신청시 제출 서류는 어떻게 되는
지?","□ 지정 신청서와 첨부서류로 운영현황 내역서 1부, 시설현황 내역서 1부, 시험수행 능력을 입증할 수 있는 자료 1부입니다.

  ○ 첨부서류 작성 시 유의사항은 지정 신청서 하단을 참고하시기 바랍니다."
농약 시험연구기관 신규 지정 절차는 어떻게 되는지?,□ 지정 신청서 접수(처리기한 60일) → 신청서류 검토 및 현지평가 실시 → 현지평가 지적사항 보완 요청 → 보완사항 이행 완료시 지정서 발급
"작용기작을 달리하여 사용해야 농약 저항성을 감소시킬
수 있다고 하는데 살균제의 경우 다1과 다2도 작용기작
이 다른 것인가요?","□ ‘다1’과 ‘다2’처럼 같은 ‘다’군의 그룹으로 하위 세부그룹이 다르면 세부 작용기작이 다름을 의미합니다.


   문자가 다른 그룹을 가급적 사용하시되, 사용할 수 있는 다른 그룹이 없다면 세부그룹이 다른 약제를 사용하는 것이 바람직합니다."
"PLS 시행 후 작물을 심기 전 토양 잔류농약검사를 필수
적으로 해야 하는지 궁금합니다. 토양검사를 했을 때 검
출 농약이 작물에 피해를 줄까 걱정됩니다.","□ 농약안전사용기준을 준수한 경우 잔류농약검사를 의무적으로 시행 할 필요는 없습니다.

□ 비의도적인 농약 잔류문제를 해결하기 위해 토양잔류기간이 긴 농약성분은 별도의 잔류허용기준을 정하여 적용하고 있습니다."
"전착제, 생장조절제도 PLS에 적용을 받나요?","□ 농약관리법에 따라 등록된 농약이라 하더라도 사람에게 해를 줄 우려가 없거나 식품에 전혀 잔류되지 않는 농약은 잔류허용기준 설정 면제 대상입니다.

   ○ 잔류허용기준 면제대상 성분은 「식품의 기준 및 규격」(식품의약품안전처 고시)을 참고하시기 바랍니다."
"잔류허용기준(그룹기준 포함)이 설정되어 있는 농약은
농약관리법 저촉없이 사용가능하나요?","□ 잔류허용기준이 설정되어 있어도 작물에 등록된 농약이 있는지 확인 후 사용하시기 바랍니다.

  등록된 농약이 없는데 사용한 경우 농약관리법 위반으로 100만원 이하의 과태료 처분을 받을 수 있습니다."
"비산되어 온 농약성분(제초제 등)으로 인한 분쟁상황에
서의 대응 매뉴얼이 궁금합니다.","□ 친환경에서는 비의도적인 오염이 예상 될 때에는 구분생산계획에 따라 완충지대(3~5m)를 설치하도록 하고 있으며 완충지대내의 농산물을 친환경으로 출하하지 못하도록 하고 있습니다.

□ 농업인은 바람이 부는 날 살포기로 농약을 살포하여 이웃 농지에 비산하는 등 피해를 주지 않도록 노력해야 하며, 농약을 살포할 날짜를 이웃 농지 농업인에게 미리 알려주고, 바람이 부는 날을 피해 살포하고, 필요시 가림막 등의 조치를 해야 합니다.

□ 현장에서 비산 등 분쟁이 발생할 경우 농림축산식품부 농약피해분쟁조정위원회 또는 한국소비자원 분쟁조정위원회 (043-880-5500)에 문의하시기 바랍니다."
"배추와 엇갈이배추는 둘 다 무름병이 있는데, 둘 다 같은
약제를 써도 되나요?","□ 배추와 엇갈이배추의 잔류허용기준은 구분 설정되어 있지만, 농약 등록 시에는 배추와 엇갈이배추에 함께 사용할 수 있도록 하고 있습니다.

   배추에 등록된 약제를 안전사용기준을 준수하여 사용할 수 있습니다."
"팥 재배 시 콩에 등록된 제초제를 콩 기준에 준해서 사용
해도 되나요?","□ 팥과 콩은 농약 등록이 구분되어 있습니다. 팥 재배 시 팥에 등록된 제초제를 사용하셔야 합니다.

  ○ 현재 사용 가능한 농약정보는 농약안전정보시스템(http://psis.rda.go.kr) - 농약정보 - 농약등록현황에서 확인하실 수 있습니다."
"작물별로 등록된 농약이 없을 경우에는 어떻게 해야 하나
요?","□ 등록농약이 없을 경우, 농약안전정보시스템(psis.rda.go.kr)에서 회원가입 후 마이페이지 - 농약직권등록수요조사를 통해 온라인으로 수요를 제출해주시기 바랍니다"
작물별로 등록된 농약은 어떻게 확인할 수 있나요?,"	
□ 현재 사용 가능한 농약정보는 농약안전정보시스템(http://psis.rda.go.kr) - 농약정보 - 농약등록현황에서 확인하실 수 있습니다."
